Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,50,2024-03-18 11:14:00,5,5e-4,5e-4,2.9465,3.2262,1.008,1.0199,0.0132,0.0025,5.9466,5.9396,1.0851,1.1121,2.2175,2.2821,0.3454,0.0678,0.0794,0.0015,0.0024,0.0014,0.0142,0.0144,0.0171,0.0146,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-18 11:21:00,6.2,5e-4,5e-4,2.9574,3.3044,1.0097,1.0166,0.0138,0.0028,5.9706,5.8374,1.1094,1.0709,2.2381,2.2747,0.3581,0.0641,0.0844,0.0013,0.0024,0.0013,0.0144,0.0143,0.0173,0.013,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-18 11:30:00,8,5e-4,5e-4,2.964,3.2985,1.0073,1.0855,0.0175,0.0337,6.0247,5.9886,1.0981,1.0976,2.2435,2.5127,0.446,0.1031,0.1091,0.0059,0.0027,0.0016,0.0144,0.0153,0.018,0.0155,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-18 11:45:00,9,5e-4,5e-4,2.9386,3.3576,1.0048,1.0322,0.0178,0.0031,5.9877,5.9249,1.0908,1.0705,2.2555,2.3198,0.41,0.0739,0.0916,0.005,0.0026,0.0014,0.0145,0.0146,0.0174,0.0142,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-25 09:35:00,0.1,5e-4,5e-4,3.0217,3.7937,1.0135,1.0182,0.012,0.0036,5.7643,5.6871,1.0723,0.9224,2.208,2.3512,0.2371,0.0361,0.0373,0.0029,0.0021,0.0012,0.0143,0.0144,0.016,0.012,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-25 09:45:00,1.6,5e-4,5e-4,3.0089,4.0697,1.0075,1.0139,0.0125,0.0028,5.7639,5.698,1.0697,0.8112,2.2085,2.3232,0.2175,0.0345,0.0349,0.0031,0.0021,0.0012,0.0142,0.0142,0.016,0.0113,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-25 09:55:00,3.8,5e-4,5e-4,3.0036,3.452,1.0079,1.0367,0.0136,0.0038,5.9611,5.9261,1.0869,1.0531,2.2832,2.3083,0.2524,0.0503,0.0493,0.0017,0.0021,0.0013,0.0143,0.0144,0.0166,0.0137,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-25 10:03:00,5,5e-4,5e-4,3.0193,3.8623,1.0266,1.0027,0.0181,0.0027,6.0538,5.8263,1.0943,0.836,2.2572,2.3076,0.3355,0.0527,0.0579,0.0019,0.0025,0.0024,0.0144,0.0141,0.0169,0.0116,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-25 10:10:00,6.2,5e-4,5e-4,2.9616,3.5073,1.0088,1.0418,0.0156,0.0032,6.1007,6.1375,1.0809,1.0654,2.2276,2.3199,0.3244,0.0647,0.0683,0.0041,0.0024,0.0014,0.0143,0.0147,0.0172,0.0129,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2024-03-25 10:15:00,8,5e-4,5e-4,3.0068,3.7337,1.0137,1.0211,0.0177,0.003,6.145,6.0881,1.0858,0.9367,2.2542,2.3445,0.3526,0.0671,0.0759,0.0119,0.0025,0.0014,0.0144,0.0144,0.0177,0.0128,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
